number_of_vehicles,number_of_casualties,hour,day_of_week,month,is_weekend,season,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow,hour_peak,precipitation_peak_interaction,low_visibility_proxy,actual_class_index,predicted_class_index,actual_class_label,predicted_class_label
2,2,8,5,8,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,0,Serious,Slight
1,1,11,1,4,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,11,3,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,2,9,2,1,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
1,1,22,4,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
1,1,8,4,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
1,1,1,3,3,0,1,2.0,5.4,147.0,11.0,7.7,4.5,1.2,100930.0,0,0,0.0,0,2,0,Fatal,Slight
2,1,11,6,11,1,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,4,21,6,4,1,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,18,4,10,0,3,3.0,4.9,111.0,14.2,10.7,7.2,0.0,102480.0,0,1,0.0,0,2,1,Fatal,Serious
1,1,13,6,5,1,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,2,15,5,5,1,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
2,2,18,2,8,0,2,3.0,10.1,267.0,35.5,28.6,21.7,0.4,101290.0,0,1,0.4,0,1,2,Serious,Fatal
1,1,0,4,9,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,0,1,Slight,Serious
1,1,7,0,10,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
1,1,8,6,1,1,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,0,Fatal,Slight
1,1,8,3,6,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
1,1,8,3,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
2,2,14,6,10,1,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
2,1,18,2,9,0,3,5.0,3.5,150.0,22.4,18.4,14.4,0.0,102350.0,0,1,0.0,0,1,2,Serious,Fatal
2,1,23,0,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,0,Serious,Slight
2,1,5,3,3,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,0,Serious,Slight
1,1,19,1,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,0,Serious,Slight
1,1,16,0,6,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,0,Serious,Slight
1,1,17,5,4,1,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
1,1,17,2,9,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
2,1,17,6,9,1,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
3,4,18,5,12,1,0,5.0,2.1,38.0,10.0,4.9,-0.1,12.0,101960.0,0,1,12.0,0,1,2,Serious,Fatal
2,1,16,6,6,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,0,Fatal,Slight
2,2,13,2,12,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
2,1,21,0,12,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
3,2,13,4,2,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
1,1,17,4,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,0,Serious,Slight
1,1,0,1,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
1,1,13,1,3,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,16,4,10,0,3,3.0,4.9,111.0,14.2,10.7,7.2,0.0,102480.0,0,1,0.0,0,1,2,Serious,Fatal
1,1,20,2,4,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,0,Serious,Slight
1,2,16,5,7,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
3,3,16,2,3,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
2,1,19,0,3,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
2,1,0,3,10,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,23,4,2,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
2,1,2,6,9,1,3,6.0,8.1,201.0,20.6,15.3,10.1,0.0,102080.0,0,0,0.0,0,2,1,Fatal,Serious
2,2,16,3,7,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
1,1,17,3,7,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
1,1,18,2,6,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,0,Fatal,Slight
1,1,13,0,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,13,2,1,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,19,2,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
