feature,importance_mean,importance_std,method,rows
number_of_vehicles,0.017590620424592546,0.001110745879155423,permutation_f1_macro,20000
junction_control,0.01496634329511872,0.0013268965890949381,permutation_f1_macro,20000
speed_limit,0.010899924479312687,0.00444357223578335,permutation_f1_macro,20000
urban_or_rural_area,0.00572433649920769,0.003703148703669067,permutation_f1_macro,20000
junction_detail,0.005448085433468197,0.002653805231619743,permutation_f1_macro,20000
light_conditions,0.0038651202200984947,0.0027232902654493094,permutation_f1_macro,20000
road_type,0.002216676065433687,0.0018797708985933406,permutation_f1_macro,20000
precipitation_peak_interaction,8.496579003036686e-05,0.0002799801856629703,permutation_f1_macro,20000
pressure,5.971934682456418e-05,0.0010171330808156948,permutation_f1_macro,20000
snow,0.0,0.0,permutation_f1_macro,20000
low_visibility_proxy,-9.390261759047631e-05,9.423505095304974e-05,permutation_f1_macro,20000
min_temp,-0.00018103651534980467,0.0008324159874789758,permutation_f1_macro,20000
sunshine,-0.00023507969479933757,0.0011309542993262333,permutation_f1_macro,20000
precipitation,-0.00044123300204745863,0.00045127355864003357,permutation_f1_macro,20000
global_radiation,-0.0004470669756877303,0.0006732065455310227,permutation_f1_macro,20000
max_temp,-0.0005600493465947228,0.0006270992367141796,permutation_f1_macro,20000
mean_temp,-0.0005699770076241598,0.0007174289365550532,permutation_f1_macro,20000
weather_conditions,-0.0009545527700865105,0.0005988438488436243,permutation_f1_macro,20000
cloud_cover,-0.00100258007412235,0.0012146872498509085,permutation_f1_macro,20000
is_weekend,-0.002461380929436411,0.0011864732730447064,permutation_f1_macro,20000
road_surface_conditions,-0.002581950699902228,0.0012124188226873135,permutation_f1_macro,20000
hour,-0.0026401060603660764,0.0014359937705276159,permutation_f1_macro,20000
hour_peak,-0.00367689416435113,0.003157070059736474,permutation_f1_macro,20000
day_of_week,-0.005901537321832018,0.0012240358427831975,permutation_f1_macro,20000
season,-0.008614443357655766,0.0019780260772279817,permutation_f1_macro,20000
month,-0.01004284851564278,0.0024633235256238343,permutation_f1_macro,20000
