threshold,precision,recall,f1,false_positive_rate,predicted_positive_rate,tp,fp,fn,tn
0.05,0.02281038415583475,0.8411214953271028,0.044416243654822336,0.5441495206508261,0.5485674561795522,1260,53978,238,45219
0.1,0.03045822102425876,0.6789052069425902,0.058300848429259346,0.3263505952800992,0.3315954118873827,1017,32373,481,66824
0.15,0.03512443696255517,0.5153538050734312,0.06576649486731695,0.2137867072592921,0.21827300263170962,772,21207,726,77990
0.2,0.04025931928687196,0.4145527369826435,0.07339124268746676,0.1492383842253294,0.15318536173593525,621,14804,877,84393
0.25,0.044724465347413256,0.3364485981308411,0.07895355212657633,0.10852142705928607,0.11191221013953026,504,10765,994,88432
0.3,0.0495011014642996,0.25500667556742324,0.08290830168204015,0.07394376846073974,0.07663737027657778,382,7335,1116,91862
0.35,0.050394656952034,0.16622162883845126,0.07734120205000776,0.04729981753480448,0.04906897065395501,249,4692,1249,94505
0.4,0.05202130993418991,0.11081441922563418,0.0708040093836639,0.03049487383691039,0.03168975619444858,166,3025,1332,96172
0.45,0.05757432751297782,0.0814419225634179,0.06745922034835498,0.020131657207375222,0.0210437459655395,122,1997,1376,97200
0.5,0.05689277899343545,0.0520694259012016,0.05437434646218194,0.013034668387148805,0.013615373156561895,78,1293,1420,97904
0.55,0.06480304955527319,0.03404539385847797,0.04463894967177243,0.0074195792211458,0.00781568101693232,51,736,1447,98461
0.6,0.06923076923076923,0.018024032042723633,0.028601694915254237,0.003659384860429247,0.0038730820795471474,27,363,1471,98834
0.65,0.0875,0.009345794392523364,0.016887816646562123,0.0014718187041946832,0.001588956750583445,14,146,1484,99051
0.7,0.10204081632653061,0.0033377837116154874,0.006464124111182934,0.00044356180126415114,0.00048661800486618007,5,44,1493,99153
0.75,0.0,0.0,0.0,0.0001310523503734992,0.0001291027359849049,0,13,1498,99184
0.8,0.0,0.0,0.0,2.0161900057461415e-05,1.9861959382293062e-05,0,2,1498,99195
0.85,0.0,0.0,0.0,0.0,0.0,0,0,1498,99197
0.9,0.0,0.0,0.0,0.0,0.0,0,0,1498,99197
0.95,0.0,0.0,0.0,0.0,0.0,0,0,1498,99197
